TimeWindow, Subwindow, Flight, RiskCategory, O1, O2
30, 0, Flight20, LOWRISK1, 8.231055880581879E-5, -8.231055880581879E-5
30, 10, Flight1, SELECTEE, 0.0, 0.0
30, 10, Flight1, UNKNOWN, -1.2247257153128947E-5, 1.2247257153128947E-5
30, 10, Flight1, LOWRISK1, -0.0032403683884813773, 0.0032403683884813773
30, 10, Flight2, SELECTEE, 0.0, 0.0
30, 10, Flight2, UNKNOWN, 1.159167661217737E-5, -1.159167661217737E-5
30, 10, Flight2, LOWRISK1, 5.047216339836473E-5, -5.047216339836473E-5
30, 10, Flight3, SELECTEE, 0.0, 0.0
30, 10, Flight3, UNKNOWN, 1.9028497730557997E-5, -1.9028497730557997E-5
30, 10, Flight3, LOWRISK1, -0.0019557932274388468, 0.0019557932274388468
30, 10, Flight4, SELECTEE, 0.0, 0.0
30, 10, Flight4, UNKNOWN, 8.085883672518814E-6, -8.085883672518814E-6
30, 10, Flight4, LOWRISK1, -8.569056371283433E-5, 8.569056371283433E-5
30, 10, Flight5, SELECTEE, -0.037451632623644635, 0.037451632623644635
30, 10, Flight5, UNKNOWN, 1.8752830567118749E-6, -1.8752830567118749E-6
30, 10, Flight5, LOWRISK1, -4.5119008346114747E-4, 4.5119008346114747E-4
30, 10, Flight6, SELECTEE, 0.0, 0.0
30, 10, Flight6, UNKNOWN, -6.050909703268106E-6, 6.050909703268106E-6
30, 10, Flight6, LOWRISK1, -1.418893238273532E-4, 1.418893238273532E-4
30, 10, Flight7, SELECTEE, -4.088033395262878E-4, 4.088033395262878E-4
30, 10, Flight7, UNKNOWN, -1.5349863916457308E-5, 1.5349863916457308E-5
30, 10, Flight7, LOWRISK1, -3.613065525572796E-4, 3.613065525572796E-4
30, 10, Flight8, SELECTEE, 0.0, 0.0
30, 10, Flight8, UNKNOWN, -5.507443979408137E-4, 5.507443979408137E-4
30, 10, Flight8, LOWRISK1, 1.0807279565998327E-4, -1.0807279565998327E-4
30, 10, Flight9, SELECTEE, 0.0, 0.0
30, 10, Flight9, UNKNOWN, 3.3646057389840755E-6, -3.3646057389840755E-6
30, 10, Flight9, LOWRISK1, -0.0016872586097822105, 0.0016872586097822105
30, 10, Flight10, SELECTEE, 0.0, 0.0
30, 10, Flight10, UNKNOWN, -2.1645892028141986E-5, 2.1645892028141986E-5
30, 10, Flight10, LOWRISK1, -1.4622323216693307E-4, 1.4622323216693307E-4
30, 10, Flight11, SELECTEE, 0.0, 0.0
30, 10, Flight11, UNKNOWN, 1.7114571747954763E-5, -1.7114571747954763E-5
30, 10, Flight11, LOWRISK1, 1.8570540782409162E-4, -1.8570540782409162E-4
30, 10, Flight12, SELECTEE, -0.038391648483806926, 0.038391648483806926
30, 10, Flight12, UNKNOWN, 3.0481273170183226E-5, -3.0481273170183226E-5
30, 10, Flight12, LOWRISK1, -1.294921542726741E-4, 1.294921542726741E-4
30, 10, Flight13, SELECTEE, 0.0, 0.0
30, 10, Flight13, UNKNOWN, -2.051249435906453E-4, 2.051249435906453E-4
30, 10, Flight13, LOWRISK1, 1.3987069671593633E-4, -1.3987069671593633E-4
30, 10, Flight14, SELECTEE, -8.316037050565186E-4, 8.316037050565186E-4
30, 10, Flight14, UNKNOWN, 1.228570546728984E-5, -1.228570546728984E-5
30, 10, Flight14, LOWRISK1, -6.3497543591751655E-6, 6.3497543591751655E-6
30, 10, Flight15, SELECTEE, 0.0, 0.0
30, 10, Flight15, UNKNOWN, 7.984123986207945E-6, -7.984123986207945E-6
30, 10, Flight15, LOWRISK1, 7.57329137184072E-5, -7.57329137184072E-5
30, 10, Flight16, SELECTEE, -4.994869267497919E-4, 4.994869267497919E-4
30, 10, Flight16, UNKNOWN, 4.3624985146408116E-5, -4.3624985146408116E-5
30, 10, Flight16, LOWRISK1, 4.329066374819306E-5, -4.329066374819306E-5
30, 10, Flight17, SELECTEE, -2.82728613523297E-4, 2.82728613523297E-4
30, 10, Flight17, UNKNOWN, 7.20254988882599E-6, -7.20254988882599E-6
30, 10, Flight17, LOWRISK1, -7.613678479786383E-4, 7.613678479786383E-4
30, 10, Flight18, SELECTEE, 0.0, 0.0
30, 10, Flight18, UNKNOWN, -9.949086502985905E-6, 9.949086502985905E-6
30, 10, Flight18, LOWRISK1, -0.0016888278741359112, 0.0016888278741359112
30, 10, Flight19, SELECTEE, 0.0, 0.0
30, 10, Flight19, UNKNOWN, -5.561245208172411E-5, 5.561245208172411E-5
30, 10, Flight19, LOWRISK1, -2.958339495443323E-5, 2.958339495443323E-5
30, 10, Flight20, SELECTEE, 0.0, 0.0
30, 10, Flight20, UNKNOWN, 1.3185006496234782E-4, -1.3185006496234782E-4
30, 10, Flight20, LOWRISK1, 4.835441138132198E-5, -4.835441138132198E-5
30, 20, Flight1, SELECTEE, 0.0, 0.0
30, 20, Flight1, UNKNOWN, -7.71653013023945E-5, 7.71653013023945E-5
30, 20, Flight1, LOWRISK1, -0.0031302017699610316, 0.0031302017699610316
30, 20, Flight2, SELECTEE, -3.22513834790142E-4, 3.22513834790142E-4
30, 20, Flight2, UNKNOWN, 7.236589656987366E-6, -7.236589656987366E-6
30, 20, Flight2, LOWRISK1, -2.8577588429180745E-5, 2.8577588429180745E-5
30, 20, Flight3, SELECTEE, -0.0020214316411968788, 0.0020214316411968788
30, 20, Flight3, UNKNOWN, -9.579675200621068E-5, 9.579675200621068E-5
30, 20, Flight3, LOWRISK1, -0.004124823148657799, 0.004124823148657799
30, 20, Flight4, SELECTEE, 0.002292836238307486, -0.002292836238307486
30, 20, Flight4, UNKNOWN, 2.019532966699266E-6, -2.019532966699266E-6
30, 20, Flight4, LOWRISK1, -6.890619065410204E-5, 6.890619065410204E-5
30, 20, Flight5, SELECTEE, -0.0012315120832889588, 0.0012315120832889588
30, 20, Flight5, UNKNOWN, 1.0683785876394252E-5, -1.0683785876394252E-5
30, 20, Flight5, LOWRISK1, -8.224792147569437E-4, 8.224792147569437E-4
30, 20, Flight6, SELECTEE, -0.0027223305849317088, 0.0027223305849317088
30, 20, Flight6, UNKNOWN, 1.6577277316717296E-5, -1.6577277316717296E-5
30, 20, Flight6, LOWRISK1, -9.509238654707911E-5, 9.509238654707911E-5
30, 20, Flight7, SELECTEE, -5.365679440695386E-4, 5.365679440695386E-4
30, 20, Flight7, UNKNOWN, -3.027902288618702E-5, 3.027902288618702E-5
30, 20, Flight7, LOWRISK1, -7.525202681527902E-4, 7.525202681527902E-4
30, 20, Flight8, SELECTEE, 0.0, 0.0
30, 20, Flight8, UNKNOWN, -6.443371484356685E-4, 6.443371484356685E-4
30, 20, Flight8, LOWRISK1, 1.1755382988208748E-4, -1.1755382988208748E-4
30, 20, Flight9, SELECTEE, 0.0, 0.0
30, 20, Flight9, UNKNOWN, 3.3231747446204974E-5, -3.3231747446204974E-5
30, 20, Flight9, LOWRISK1, -0.0014353258139128096, 0.0014353258139128096
30, 20, Flight10, SELECTEE, -0.024527356281223118, 0.024527356281223118
30, 20, Flight10, UNKNOWN, -2.4585358365613188E-5, 2.4585358365613188E-5
30, 20, Flight10, LOWRISK1, -2.2269353403968372E-4, 2.2269353403968372E-4
30, 20, Flight11, SELECTEE, 0.0, 0.0
30, 20, Flight11, UNKNOWN, 2.178990064415544E-5, -2.178990064415544E-5
30, 20, Flight11, LOWRISK1, 4.745361043407631E-5, -4.745361043407631E-5
